AG'S  AE1 G Z
AIRBAGS  EH1 R B AE2 G Z
BAGGS  B AE1 G Z
BAGS  B AE1 G Z
BRAGGS  B R AE1 G Z
BRAGS  B R AE1 G Z
CRAGGS  K R AE1 G Z
DAGGS  D AE1 G Z
DRAGS  D R AE1 G Z
FAGS  F AE1 G Z
FLAGS  F L AE1 G Z
GAGS  G AE1 G Z
HANDBAGS  HH AE1 N D B AE2 G Z
JAGS  JH AE1 G Z
KNAGGS  N AE1 G Z
LAGS  L AE1 G Z
MAGGS  M AE1 G Z
MAGS  M AE1 G Z
MAILBAGS  M EY1 L B AE2 G Z
NAGS  N AE1 G Z
RAGS  R AE1 G Z
SADDLEBAGS  S AE1 D AH0 L B AE2 G Z
SAGS  S AE1 G Z
SANDBAGS  S AE1 N D B AE2 G Z
SCAGGS  S K AE1 G Z
SCAGS  S K AE1 G Z
SCUMBAGS  S K AH1 M B AE2 G Z
SHAGS  SH AE1 G Z
SKAGGS  S K AE1 G Z
SNAGS  S N AE1 G Z
STAGGS  S T AE1 G Z
TAGS  T AE1 G Z
VIAG'S  V AY1 AE0 G Z
WAG'S  W AE1 G Z
WAGS  W AE1 G Z
ZAGS  Z AE1 G Z
ZIGZAGS  Z IH1 G Z AE0 G Z
