APPS  AE1 P S
BOOTSTRAPS  B UW1 T S T R AE2 P S
CAP'S  K AE1 P S
CAPPS  K AE1 P S
CAPS  K AE1 P S
CHAPS  CH AE1 P S
CLAPS  K L AE1 P S
COLLAPSE  K AH0 L AE1 P S
CRAPPS  K R AE1 P S
CRAPS  K R AE1 P S
ELAPSE  IH0 L AE1 P S
FLAPS  F L AE1 P S
GAP'S  G AE1 P S
GAPS  G AE1 P S
HANDICAPS  HH AE1 N D IY0 K AE2 P S
HUBCAPS  HH AH1 B K AE2 P S
JAPS  JH AE1 P S
KAPPES  K AE1 P S
KAPS  K AE1 P S
KIDNAPS  K IH1 D N AE2 P S
KNAPP'S  N AE1 P S
KNEECAPS  N IY1 K AE2 P S
LAPPS  L AE1 P S
LAPS  L AE1 P S
LAPSE  L AE1 P S
MAPS  M AE1 P S
MILLSAPS  M IH1 L S AE2 P S
MISHAPS  M IH1 S HH AE2 P S
NAPS  N AE1 P S
OVERLAPS  OW1 V ER0 L AE2 P S
PERHAPS  P ER0 HH AE1 P S
RAPS  R AE1 P S
RECAPS  R IY1 K AE2 P S
RELAPSE  R IY0 L AE1 P S
SAPS  S AE1 P S
SCHNAPPS  SH N AE1 P S
SCRAPS  S K R AE1 P S
SKULLCAPS  S K AH1 L K AE2 P S
SLAPS  S L AE1 P S
SNAPS  S N AE1 P S
STRAPS  S T R AE1 P S
SYNAPSE  S IH1 AE0 P S
TAPS  T AE1 P S
TRAPS  T R AE1 P S
WIRETAPS  W AY1 R T AE2 P S
WRAPS  R AE1 P S
YAPS  Y AE1 P S
ZAPS  Z AE1 P S
